School_code,School_name,Country,State,Town_suburb,Postcode,# Students,Level_of_schooling,County,Latitude,Longitude
4299,Chifley Public School,Australia,New South Wales,Malabar,2036,169,Primary School,Randwick,-33.96583,151.242158
4305,Weilmoringle Public School,Australia,New South Wales,Weilmoringle ,2839,10,Primary School,Brewarrina,-29.238786,146.918094
4310,Walters Road Public School,Australia,New South Wales,Blacktown ,2148,604,Primary School,Blacktown,-33.784758,150.892148
4311,Bardia Public School,Australia,New South Wales,Bardia,2565,370,Primary School,Campbelltown,-33.97528,150.857923
4312,Ringrose Public School,Australia,New South Wales,Greystanes ,2145,450,Primary School,Cumberland,-33.820181,150.959399
4313,Blaxland East Public School,Australia,New South Wales,BLAXLAND EAST,2774,408,Primary School,Blue Mountains,-33.746937,150.623632
4314,Harrington Street Public School,Australia,New South Wales,Cabramatta,2166,994,Primary School,Fairfield,-33.888595,150.908725
4316,Mannering Park Public School,Australia,New South Wales,Mannering Park ,2259,237,Primary School,Central Coast,-33.150794,151.536785
4318,Hillsborough Public School,Australia,New South Wales,Charlestown ,2290,259,Primary School,Lake Macquarie,-32.959966,151.68003
4319,Sadleir Public School,Australia,New South Wales,Sadleir ,2168,329,Primary School,Liverpool,-33.915843,150.891029
4320,Gwandalan Public School,Australia,New South Wales,Gwandalan ,2259,375,Primary School,Central Coast,-33.135468,151.582444
4323,Peakhurst South Public School,Australia,New South Wales,PEAKHURST HEIGHTS,2210,283,Primary School,Georges River,-33.972923,151.055986
4324,Charlestown South Public School,Australia,New South Wales,Charlestown ,2290,219,Primary School,Lake Macquarie,-32.96765,151.688181
4327,Marayong South Public School,Australia,New South Wales,Blacktown ,2148,348,Primary School,Blacktown,-33.760128,150.885236
4328,Sherwood Grange Public School,Australia,New South Wales,Merrylands ,2160,335,Primary School,Cumberland,-33.836784,150.960103
4329,Woy Woy South Public School,Australia,New South Wales,Woy Woy ,2256,487,Primary School,Central Coast,-33.503577,151.321429
4331,St Ives Public School,Australia,New South Wales,St Ives ,2075,503,Primary School,Ku-Ring-Gai,-33.738199,151.1665
4333,Warilla North Public School,Australia,New South Wales,Warilla ,2528,154,Primary School,Shellharbour,-34.546621,150.85283
4336,Heckenberg Public School,Australia,New South Wales,HECKENBERG,2168,215,Primary School,Liverpool,-33.908784,150.890543
4337,Busby Public School,Australia,New South Wales,Busby ,2168,248,Primary School,Liverpool,-33.911561,150.881313
4338,Miller Public School,Australia,New South Wales,Miller ,2168,220,Primary School,Liverpool,-33.921454,150.876881
4339,Kingswood South Public School,Australia,New South Wales,Kingswood ,2747,319,Primary School,Penrith,-33.769287,150.711849
4342,Picnic Point Public School,Australia,New South Wales,Picnic Point ,2213,414,Primary School,Canterbury-Bankstown,-33.969119,151.010243
4344,Ashcroft Public School,Australia,New South Wales,Ashcroft,2168,252,Primary School,Liverpool,-33.916395,150.89839
